description,origin,section,family,brand,variety,format,group,internet_description,manufacturer
VINO 120 BLANCO TETRA 8X2.000 CC,B.ALCOHOLICAS Y ANALCOHOLICAS,VINOS Y LICORES,VINOS,120,BLANCO,TETRA,VINOS Y LICORES,,SOCIEDAD ANONIMA VIÑA SANTA RITA
Z.ARVEJITAS CONSERVA WASIL 48X310 GR,ALIMENTOS,CONSERVAS,VERDURAS,WASIL,,LATA,CONSERVAS VEGETALES,ARVEJITAS VERDURAS WASIL 310GR,DIWATTS S.A
NESCAFE DOLCA 24X100 GR,ALIMENTOS,CAFE Y SUCEDANEOS,CAFE,NESCAFE,DOLCA,TARRO,CAFE Y SUCEDANEOS,CAFÉ DOLCA NESCAFE 100GR,NESTLE CHILE S.A.
Z. CLORO CLORINDA 6X2 LTS,ASEO Y LIMPIEZA,CLOROS,CLORO,CLORINDA,,,,,CLOROX CHILE S.A.
Z. LUSTRAMUEBLE BRIMAX 30X250,ASEO Y LIMPIEZA,ARTICULOS DE ASEO HOGAR,LUSTRA MUEBLE,BRIMAX,,,,,CLOROX CHILE S.A.
MANJAR LIGHT COLUN POTE 24X200 GR,LACTEOS REFRIGERADOS Y CECINAS,MANJAR,POTE,COLUN,,,,,COOPERATIVA AGRICOLA LECHERA LA UNION LT
Z. PEPSODENT PEP 6X12X50  NORMAL,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,PASTA DENTAL,PEPSODENT,,,,,UNILEVER CHILE LIMITADA.
JUREL NACIONAL COLORADO 24X425 G,ALIMENTOS,CONSERVAS,JUREL,COLORADO,,LATA,CONSERVAS JURELES,JUREL COLORADO 425GR,ORIZON S.A.
Z. VIRUTILLA N°6 BRILLASOL 25/1,ASEO Y LIMPIEZA,ARTICULOS DE ASEO HOGAR,VIRUTILLAS,BRILLASOL,,,,,CBC PLASTIC S.A.
LECHE CONDENSADA LECHE SUR 48X395 GR,ALIMENTOS,LECHE CONDENSADA,CONDENSADA,LECHE SUR,,TARRO,LECHE CONDENSADA,LECHE CONDENSADA LECHE SUR 395GR,NESTLE CHILE S.A.
MANJAR LOS ALERCES 4X5 KG,LACTEOS REFRIGERADOS Y CECINAS,MANJAR,MANJAR,LOS ALERCES,TRADICIONAL,BOLSA,REFRIGERADOS,MANJAR TRADICIONAL LOS ALERCES 5KG,COOPERATIVA AGRICOLA LECHERA LA UNION LT
BETUN NUGGETT NEGRO 144X65 GR,ASEO Y LIMPIEZA,CERAS Y BETUNES,BETUN,NUGGET,NEGRO,LATA,CERAS Y BETUNES,BETUN NEGRO NUGGET 65GR,RECKITT BENCKISER CHILE S.A.
Z. TE CLUB CANELA 10X100,ALIMENTOS,TE,BOLSITA,CLUB,,,,,UNILEVER BESTFOODS
Z. HARINA  1MB. 50 KILO,ABARROTES BASICOS Y MASCOTAS,HARINAS,QUINTAL,MONT BLANC,,,,,CIA. MOLINERA SAN CRISTOBAL S.A.
Z.Z. CECINA SAN PABLO PATE DE CAMPO X DP,LACTEOS REFRIGERADOS Y CECINAS,CECINAS,PATE,SAN PABLO,,,,,CECINAS SAN PABLO S.A
AZUCAR DAMABLANCA 20X1 KG,ABARROTES BASICOS Y MASCOTAS,AZUCAR,AZUCAR,DAMA BLANCA,BLANCA,BOLSA,AZUCAR,AZUCAR BLANCA DAMA BLANCA 1KG,IANSA ALIMENTOS S.A
Z. ACE NATURALS DISPLAY 40X200 GR,ASEO Y LIMPIEZA,DETERGENTES,POLVO,ACE,,,,,PROCTER & GAMBLE CHILE LTDA.
AZUCAR IANSA 5 KILOS,ABARROTES BASICOS Y MASCOTAS,AZUCAR,AZUCAR,IANSA,BLANCA,BOLSA,AZUCAR,AZUCAR BLANCA IANSA 5KG,IANSA ALIMENTOS S.A
Z. FLAN AURORA CHOCOLATE 32X60 GRS,LACTEOS REFRIGERADOS Y CECINAS,POSTRES,MIXTOS,AURORA,,,,,MONDELEZ CHILE S.A.
Z. LECHE ENT INS CALO 20X900GR USAR 7256,LACTEOS REFRIGERADOS Y CECINAS,LECHE POLVO,ENTERAS,CALO,ENTERA,BOLSA,LECHE POLVO,,DIWATTS S.A
Z.Z. CECINA SAN PABLO COPPA ITALIANA X G,LACTEOS REFRIGERADOS Y CECINAS,CECINAS,COPPA,SAN PABLO,,,,,CECINAS SAN PABLO S.A
NECTAR WATTS TUTIFRUTILLA 30X200 CC,B.ALCOHOLICAS Y ANALCOHOLICAS,JUGOS O NECTAR,CAJA,WATTS,,,,,DIWATTS S.A
Z. TE SAMBA 40/125,ALIMENTOS,TE,TE,SAMBA,SAMBA,BOLSA,TE,,CAMBIASO HNOS. S.A.C.
Z. TE CLUB BOLSITA ROJO 50/20,ALIMENTOS,TE,BOLSITA,CLUB,,,TE,,UNILEVER CHILE LIMITADA.
Z. TE CLUB ROJO ECONOMICO 32/125,ALIMENTOS,TE,GRANEL,CLUB,,,,,UNILEVER BESTFOODS
Z.NECTAR WATTS MANGO 30X200 CC,B.ALCOHOLICAS Y ANALCOHOLICAS,JUGOS O NECTAR,JUGO,WATTS,MANGO,,JUGOS O NECTAR,NECTAR JUGO MANGO WATTS 200CC,DIWATTS S.A
CREMA BATIR CALO 12X1000 CC,LACTEOS REFRIGERADOS Y CECINAS,CREMAS,CREMAS ESPESAS,CALO,BATIR,,CREMAS,,DIWATTS S.A
Z. PAP. HIG.CONFORT PAPEL X2 48UN,CUIDADO PERSONAL,PAPELERA,HIGIENICOS,CONFORT,,,,,CMPC TISSUE S.A.
MERMELADA WATTS S/AZU DURAZNO 2X12X200 G,LACTEOS REFRIGERADOS Y CECINAS,DULCES Y MERMELADAS,MERMELADAS,WATTS,SIN AZUCAR DURAZNO,SACHET,DULCES Y MERMELADAS,,DIWATTS S.A
Z. TE LIPTON YELLOW LABEL 50X20,ALIMENTOS,TE,BOLSITA,LIPTON,,,,,UNILEVER BESTFOODS
Z. LECHE POLVO CLASICA NIDO 6X2 KG,LACTEOS REFRIGERADOS Y CECINAS,LECHE POLVO,ENTERAS,NIDO,,,LECHE POLVO,,NESTLE CHILE S.A.
LECHE NIDO INSTAN 26 TR 6X1600 GR,LACTEOS REFRIGERADOS Y CECINAS,LECHE POLVO,ENTERAS,NIDO,ENTERA,BOLSA,LECHE POLVO,,NESTLE CHILE S.A.
Z. CREMA NESTLE 48X160 GR,ALIMENTOS,CREMAS,CREMAS,NESTLE,,,,,NESTLE CHILE S.A.
CREMA ESPESA NESTLE TARRO 48X236 GR,LACTEOS REFRIGERADOS Y CECINAS,CREMAS,CREMAS ESPESAS,NESTLE,ESPESA,TARRO,CREMAS,CREMA ESPESA NESTLE 236GR,NESTLE CHILE S.A.
Z. TE CLUB CEYLAN 50X20 PROMO,ALIMENTOS,TE,BOLSITA,CLUB,,,,,UNILEVER BESTFOODS
MILO 24X400 GR,LACTEOS REFRIGERADOS Y CECINAS,SABORIZANTES,POLVO,MILO,,,,,NESTLE CHILE S.A.
Z. MILO 12X900 GR,LACTEOS REFRIGERADOS Y CECINAS,SABORIZANTES,POLVO,MILO,,,,,NESTLE CHILE S.A.
LECHE CONDENSADA NESTLE 48X397 GR,ALIMENTOS,LECHE CONDENSADA,CONDENSADA,NESTLE,,TARRO,LECHE CONDENSADA,LECHE CONDENSADA NESTLE 398GR,NESTLE CHILE S.A.
HARINA SELECTA S/POLVO 10 KG,ABARROTES BASICOS Y MASCOTAS,HARINAS,HARINA,SELECTA,TODO USO,QUINTAL,HARINAS,,EMPRESAS CAROZZI S.A.
Z. P.PAMPERS PROMO XG,CUIDADO PERSONAL,PANALES,PANALES,PAMPERS,,,,,PROCTER & GAMBLE CHILE LTDA.
Z. NESCAFE TRADICION TARRO 48X50 GR,ALIMENTOS,CAFE Y SUCEDANEOS,CAFE,NESCAFE,,,CAFE Y SUCEDANEOS,,NESTLE CHILE S.A.
NESCAFE TRADICION TARRO 24X170 GR,ALIMENTOS,CAFE Y SUCEDANEOS,CAFE,NESCAFE,TRADICION,TARRO,CAFE Y SUCEDANEOS,CAFE TRADICION NESCAFE 170GR,NESTLE CHILE S.A.
Z. NESCAFE TRADICION DISPLAY 20X10X10 GR,ALIMENTOS,CAFE Y SUCEDANEOS,CAFE,NESCAFE,,,,,NESTLE CHILE S.A.
ALIM COLADOS NESTLE 8X6U PO/VER,ALIMENTOS,ALIMENTOS INFANTILES,COLADOS,NESTLE,,,ALIMENTOS INFANTILES,COLADOS POLLO VERDURAS NESTLE 132GR,NESTLE CHILE S.A.
Z. VIRUTILLA MAGO PADS C/J 8X12 ESTUCHE,ASEO Y LIMPIEZA,ARTICULOS DE ASEO HOGAR,ESPONJAS,VIRUTEX,,,,,VIRUTEX ILKO S.A.
Z. LECHE NATURAL CALO 12X1 LT,LACTEOS REFRIGERADOS Y CECINAS,LECHE LIQUIDA,BLANCA,CALO,ENTERA,CAJA,LECHE LIQUIDA,LECHE BLANCA ENTERA CALO 1LT (1),DIWATTS S.A
Z. LECHE PURITA CALO 20X450 GR,LACTEOS REFRIGERADOS Y CECINAS,LECHE POLVO,ENTERAS,CALO,,,,,DIWATTS S.A
Z. P. PEP 3X12X100 NORMAL,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,PASTA DENTAL,SIN MARCA,,,,,UNILEVER CHILE LIMITADA.
Z. P. BALSAMO GLOSSY PROTEIN SACHET 50X5,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,ACONDICIONADOR,GLOSSY,,,,,PALMOLIVE CHILE S.A.
Z. P.BALSAMO GLOSSY PLACENTA SACHT 50X50,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,ACONDICIONADOR,GLOSSY,,,,,PALMOLIVE CHILE S.A.
Z. CLORO ARCADIA 40/500,ASEO Y LIMPIEZA,CLOROS,CLORO PISCINA,SIN MARCA,,,,,
Z. P. PAMPERS MEGA XG 6X36,CUIDADO PERSONAL,PANALES,PANALES,PAMPERS,,,,,PROCTER & GAMBLE CHILE LTDA.
Z. P.PAMPERS MEGA G 6X46,CUIDADO PERSONAL,PANALES,PANALES,PAMPERS,,,,,PROCTER & GAMBLE CHILE LTDA.
MERMELADA WATTS S/AZU MORA 2X12X200 GR,LACTEOS REFRIGERADOS Y CECINAS,DULCES Y MERMELADAS,MERMELADAS,WATTS,SIN AZUCAR MORA,SACHET,DULCES Y MERMELADAS,,DIWATTS S.A
Z. TE SUPREMO RENDIDORA 10/100,ALIMENTOS,TE,TE,SUPREMO,RENDIDORA,BOLSA,TE,TE RENDIDORA SUPREMO 20UN (1),CAMBIASO HNOS. S.A.C.
NESCAFE DOLCA 24X170 GR,ALIMENTOS,CAFE Y SUCEDANEOS,CAFE,NESCAFE,DOLCA,TARRO,CAFE Y SUCEDANEOS,CAFÉ DOLCA NESCAFE 170GR,NESTLE CHILE S.A.
X. TE SUPREMO ORO 5X10X20 BOLSITAS,ALIMENTOS,TE,BOLSITA,SUPREMO,,,TE,,CAMBIASO HNOS. S.A.C.
Z. DESINFECTANTE AER.CLORINDA 6X400 CC.,ASEO Y LIMPIEZA,ARTICULOS DE ASEO HOGAR,DESODORANTE AMBIENTAL,CLORINDA,,,,,CLOROX CHILE S.A.
PURE DE PAPAS C/LECHE MAGGI 20X125 GR,ALIMENTOS,PURE,INSTANTANEO,MAGGI,CON LECHE,BOLSA,PURE,,NESTLE CHILE S.A.
Z. NESCAFE TRADICION STICK 100X2 GR,ALIMENTOS,CAFE Y SUCEDANEOS,CAFE,NESCAFE,,,,,NESTLE CHILE S.A.
ARROZ ARUBA NACIONAL LARGO G2 10X1K,ABARROTES BASICOS Y MASCOTAS,ARROZ,BLANCO,ARUBA,NACIONAL G2,BOLSA,ARROZ,ARROZ BLANCO NACIONAL G2 ARUBA 1KG,COMERCIAL CHACAO S A
CAFE TEMPO 24X100 GR CMT,ALIMENTOS,CAFE Y SUCEDANEOS,CAFE,TEMPO,,TARRO,CAFE Y SUCEDANEOS,,TRESMONTES S.A
Z. SALSA ELAK 72/125,ALIMENTOS,SALSAS DE TOMATE,SALSA TARRO,ELAK,,,,,ELAK CHILE ALIMENTOS S.A.
Z. LECHE LONCOLECHE 12X1 LT,LACTEOS REFRIGERADOS Y CECINAS,LECHE LIQUIDA,BLANCA,LONCO LECHE,,,,,DIWATTS S.A
CAFE TEMPO 24X170 GR CMT,ALIMENTOS,CAFE Y SUCEDANEOS,CAFE,TEMPO,,TARRO,CAFE Y SUCEDANEOS,,TRESMONTES S.A
ACEITE CHEF MARAVILLA 12X1000 CC,ABARROTES BASICOS Y MASCOTAS,ACEITE,MARAVILLA,CHEF,,BOTELLA,ACEITE,ACEITE MARAVILLA CHEF 1LT,DIWATTS S.A
ACEITE CHEF MARAVILLA 30X500 CC,ABARROTES BASICOS Y MASCOTAS,ACEITE,MARAVILLA,CHEF,,BOTELLA,ACEITE,ACEITE MARAVILLA CHEF 500ML,DIWATTS S.A
Z. ACEITE CRISTAL VEG. 30X500 CC,ABARROTES BASICOS Y MASCOTAS,ACEITE,VEGETAL,CRISTAL,,,,,
Z. P. MENTADENT C 36/100,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,PASTA DENTAL,MENTADENT,,,,,UNILEVER CHILE LIMITADA.
JABON POPEYE S/AZUL 40X170,ASEO Y LIMPIEZA,DETERGENTES,JABONES,POPEYE,AZUL,DISPLAY,DETERGENTES,JABON AZUL POPEYE 170GR,MIGUEL MARITANO IND.JABONES S.A.
JABON POPEYE S/BLANCO 40X170,ASEO Y LIMPIEZA,DETERGENTES,JABONES,POPEYE,BLANCO,DISPLAY,DETERGENTES,JABON BLANCO POPEYE 170GR,MIGUEL MARITANO IND.JABONES S.A.
MERMEL WATTS S/A  DAMASCO 2X12X200 GR,LACTEOS REFRIGERADOS Y CECINAS,DULCES Y MERMELADAS,MERMELADAS,WATTS,SIN AZUCAR DAMASCO,SACHET,DULCES Y MERMELADAS,,DIWATTS S.A
JABON POPEYE VER-MARSELLA 40X170,ASEO Y LIMPIEZA,DETERGENTES,JABONES,POPEYE,MARSELLA,DISPLAY,DETERGENTES,JABON MARSELLA POPEYE 170GR,MIGUEL MARITANO IND.JABONES S.A.
Z. JABON POPEYE VER-MARSELLA 40X140,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,JABON DE TOCADOR,POPEYE,,,,,MIGUEL MARITANO IND.JABONES S.A.
Z. VELA LUMINOSA ECONOMICA 40X164,ASEO Y LIMPIEZA,FOSFOROS Y VELAS,VELAS,LUMINOSA,,,,,CLOROX CHILE S.A.
Z. P. DENTAL MINI PEP 6X12X50 PACK,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,PASTA DENTAL,PEPSODENT,,,,,UNILEVER CHILE LIMITADA.
Z. X. DRIVE PROG.P/ULTRA BLACK 18X800 GR,ASEO Y LIMPIEZA,DETERGENTES,POLVO,DRIVE,,,,,UNILEVER CHILE LIMITADA.
MERMELADA WATTS S/AZU FRAMB 2X12X200 GR,LACTEOS REFRIGERADOS Y CECINAS,DULCES Y MERMELADAS,MERMELADAS,WATTS,SIN AZUCAR FRAMBUESA,SACHET,DULCES Y MERMELADAS,,DIWATTS S.A
Z. J.LESANCY MIX PROMO + SEDAL SACHET,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,JABON DE TOCADOR,LE SANCY,,,,,UNILEVER CHILE LIMITADA.
QUIX VERDE LOZA 24X300ML,ASEO Y LIMPIEZA,ARTICULO ASEO COCINA,LAVALOZA,QUIX,VERDE,FRASCO,ARTICULO ASEO COCINA,LAVALOZA VERDE QUIX 300GR,UNILEVER CHILE LIMITADA.
Z. LECHE ENTERA 31% S/LACT SOPROLE 12X1,LACTEOS REFRIGERADOS Y CECINAS,LECHE LIQUIDA,BLANCA,SOPROLE,,,,,COMERCIAL SANTA ELENA S.A.
Z. P.PEPSODENT NORMAL 50GR.PROMO + CEP.,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,PASTA DENTAL,PEPSODENT,,,,,UNILEVER CHILE LIMITADA.
LECHE SEMI DESCRE S/LACT SOPROLE 12X1 LT,LACTEOS REFRIGERADOS Y CECINAS,LECHE LIQUIDA,SIN LACTOSA,SOPROLE,DESCREMADA,CAJA,LECHE LIQUIDA,LECHE SIN LACTOSA DESCREMADA SOPROLE 1LT (1),COMERCIAL SANTA ELENA S.A.
LECHE SIN LACTOSA DESCRE SOPROLE 12X1 LT,LACTEOS REFRIGERADOS Y CECINAS,LECHE LIQUIDA,SIN LACTOSA,SOPROLE,DESCREMADA,CAJA,LECHE LIQUIDA,LECHE SIN LACTOSA DESCREMADA SOPROLE 1LT,COMERCIAL SANTA ELENA S.A.
ARROZ TUCAPEL GRAN SELECCION G2 10X1 KG,ABARROTES BASICOS Y MASCOTAS,ARROZ,BLANCO,TUCAPEL,,,ARROZ,ARROZ  BLANCO NACIONAL G2 TUCAPEL 1KG,EMPRESAS TUCAPEL S.A.
Z. PAST FRES RAVIOLI/CARNE CHEF 6X500 GR,ALIMENTOS,FIDEOS,ESPECIALIDADES,CHEF,CARNE,BOLSA,FIDEOS,,DIWATTS S.A
Z. P.BABYSAN MEDIANO 8/18 ROJO,CUIDADO PERSONAL,PANALES,PANALES,SIN MARCA,,,,,PROCTER & GAMBLE CHILE LTDA.
ARROZ ARUBA LAM/G.2 VERDE 10X1KG,ABARROTES BASICOS Y MASCOTAS,ARROZ,BLANCO,ARUBA,IMPORTADO G2,BOLSA,ARROZ,,COMERCIAL CHACAO S A
Z. RASPE PROMOCION MARZO,OTROS,OTROS,OTROS,SIN MARCA,,,,,OTROS
LAVALOZA VIRGINIA LIMON CITR 12X750 CC,ASEO Y LIMPIEZA,ARTICULO ASEO COCINA,LAVALOZA,VIRGINIA,LIMON,BOTELLA,ARTICULO ASEO COCINA,LAVALOZA LIMON VIRGINIA 750CC,EMPRESAS DEMARIA S.A.
LAVALOZA VIRGINIA DP CITRUS 10X450 ML,ASEO Y LIMPIEZA,ARTICULO ASEO COCINA,LAVALOZAS,VIRGINIA,,,ARTICULOS DE ASEO HOGAR,,EMPRESAS DEMARIA S.A.
Z. PASTA FCA GNOCCHI PAPA CHEF 5X1 KG,ALIMENTOS,FIDEOS,ESPECIALIDADES,WATTS,,,,,DIWATTS S.A
Z. NESCAO 24/300,ALIMENTOS,ALIMENTOS INFANTILES,COLADOS,SIN MARCA,,,,,NESTLE CHILE S.A.
Z. PASTA FCA CHEF TORTE/CHAM 6X500 GR,ALIMENTOS,FIDEOS,ESPECIALIDADES,CHEF,TORTELLONI CHAMPIÑONES,BOLSA,FIDEOS,,DIWATTS S.A
Z. P. SH HEAD&SHOUL LIMP RENOV 12X200ML,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,SHAMPOO,H&S,,,,,PROCTER & GAMBLE CHILE LTDA.
Z. PASTA FCA RAVIOLI/QUESO CHEF 6X500 GR,ALIMENTOS,FIDEOS,ESPECIALIDADES,CHEF,,,,,DIWATTS S.A
Z. REFRESCO HIKORY PIÑA 8X10X45 GR,ALIMENTOS,JUGOS POLVO,REFRESCOS,HIKORY,,,,,TRESMONTES S.A
Z. VIRUTILLA METALROLL  C/JABON X60,ASEO Y LIMPIEZA,ARTICULOS DE ASEO HOGAR,VIRUTILLAS,SIN MARCA,,,,,CBC PLASTIC S.A.
Z. REFRESCO HIKORY DAMASCO 8X10X45 GR,ALIMENTOS,JUGOS POLVO,REFRESCOS,HIKORY,,,,,TRESMONTES S.A
FIDEO CAROZZI RAVIOLES CARNE 20X250 GR,ALIMENTOS,FIDEOS,ESPECIALIDADES,CAROZZI,CARNE,BOLSA,FIDEOS,,EMPRESAS CAROZZI S.A.
Z. NESCAFE DOLCA 48X50 GR,ALIMENTOS,CAFE Y SUCEDANEOS,CAFE,DOLCA,,,,,NESTLE CHILE S.A.
Z. REFRESCO HIKORY DURAZNO 8X10X45 G,ALIMENTOS,JUGOS POLVO,REFRESCOS,HIKORY,,,,,TRESMONTES S.A
BOLSA BASURA SUPERIOR 50X70 (50X10),ASEO Y LIMPIEZA,BOLSAS,BOLSA BASURA,SUPERIOR,50X70,PACK,BOLSAS,BOLSA BASURA 50X70 SUPERIOR 50UN,CAMBIASO HNOS. S.A.C.
POLVOS IMPERIAL TARRO 24X100 GR,ABARROTES BASICOS Y MASCOTAS,HARINAS,LEVADURAS Y POLVOS DE HORNEAR,IMPERIAL,,,HARINAS,,NESTLE CHILE S.A.
POLVOS IMPERIAL TARRO 24X200 GR,ABARROTES BASICOS Y MASCOTAS,HARINAS,LEVADURAS Y POLVOS DE HORNEAR,IMPERIAL,,TARRO,HARINAS,,NESTLE CHILE S.A.
POLVOS IMPERIAL 10X50X20 GR,ABARROTES BASICOS Y MASCOTAS,HARINAS,LEVADURAS Y POLVOS DE HORNEAR,IMPERIAL,,SACHET,HARINAS,POLVO DE HORNEAR IMPERIAL 20GR,NESTLE CHILE S.A.
MILO EN EXHIBIDORES 6/12/1,LACTEOS REFRIGERADOS Y CECINAS,SABORIZANTES,POLVO,MILO,,,,,NESTLE CHILE S.A.
MILO DISPLAY 6X20X28 GRS,LACTEOS REFRIGERADOS Y CECINAS,SABORIZANTES,POLVO,MILO,CHOCOLATE,DISPLAY,SABORIZANTES,SABORIZANTE POLVO CHOCOLATE MILO 28GR,NESTLE CHILE S.A.
Z. LECHE NIDO INST 26%T 12X800 GR,LACTEOS REFRIGERADOS Y CECINAS,LECHE POLVO,ENTERAS,NIDO,,,,,NESTLE CHILE S.A.
Z.SALSA SN REMO DOYPACK 24X200 GR,ALIMENTOS,SALSAS DE TOMATE,SALSA DE TOMATE,SAN REMO,TOMATE,DOYPACK,SALSAS DE TOMATE,SALSA TOMATE SAN REMO 200GR,EMPRESAS CAROZZI S.A.
X. TE SUPREMO RENDIDORA 5X10X20 BOLSITA,ALIMENTOS,TE,BOLSITA,SUPREMO,,,TE,,CAMBIASO HNOS. S.A.C.
Z. SOPA MAGGI POLLO VERDURA 36X73 GR,ALIMENTOS,SOPAS Y CREMAS,SOPAS,MAGGI,,,,,NESTLE CHILE S.A.
CAFE ECCO 24X100 GR,ALIMENTOS,CAFE Y SUCEDANEOS,CEBADA,ECCO,,TARRO,CAFE Y SUCEDANEOS,CEBADA ECCO 100GR,NESTLE CHILE S.A.
CAFE ECCO 24X170 GR,ALIMENTOS,CAFE Y SUCEDANEOS,CEBADA,ECCO,,TARRO,CAFE Y SUCEDANEOS,CEBADA ECCO 170GR,NESTLE CHILE S.A.
Z. CREMA MAGGI ARVEJA/JAMON 36X78GRS,ALIMENTOS,SOPAS Y CREMAS,CREMAS,MAGGI,,,,,NESTLE CHILE S.A.
Z. RODASOL HORMIGA 12X100,ASEO Y LIMPIEZA,INSECTICIDAS,SPRAY,RODASOL,,,,,RECKITT BENCKISER CHILE S.A.
Z. ARROZ LONCOMILLA GRADO 1 CORTO,ABARROTES BASICOS Y MASCOTAS,ARROZ,CORTO G‹1,SIN MARCA,,,ARROZ,,CIA. MOLINERA SAN CRISTOBAL S.A.
DURAZNO MITAD DOS CABALLOS 24X590 GR,ALIMENTOS,CONSERVAS,FRUTAS,DOS CABALLOS,MITADES,TARRO,CONSERVAS FRUTAS,DURAZNO FRUTAS MITADES DOS CABALLOS 590GR,CONSERVERA PENTZKE S.A.
CAFE CORONADO 24X100 GR,ALIMENTOS,CAFE Y SUCEDANEOS,CEBADA,CORONADO,,,,,TRESMONTES S.A
Z. MILO ACTIGEN-STABILO 6X6X150 GRS,LACTEOS REFRIGERADOS Y CECINAS,SABORIZANTES,POLVO,MILO,,,,,NESTLE CHILE S.A.
Z. NESTUM 24/350 ARROZ,LACTEOS REFRIGERADOS Y CECINAS,ALIMENTOS INFANTILES,CEREALES,NESTUM,,,,,NESTLE CHILE S.A.
Z. VIM POLVO 24/660,ASEO Y LIMPIEZA,ARTICULO ASEO BANO,DESINFECTANTES,VIM,,,,,UNILEVER CHILE LIMITADA.
Z. LECHE POLVO MILKO 1X10 26%,LACTEOS REFRIGERADOS Y CECINAS,LECHE POLVO,ENTERAS,MILKO,,,,,NESTLE CHILE S.A.
Z. LECHE MILKO 12X1,LACTEOS REFRIGERADOS Y CECINAS,LECHE POLVO,ENTERAS,MILKO,,,,,NESTLE CHILE S.A.
Z. YERBA MATE 5 KL. 5/1 MARACANA,ALIMENTOS,TE,BOLSITA,SIN MARCA,,,,,PARRO ALVARIÐO Y CIA. LTDA.
Z. CAJA PAPEL FANFOL BLANCA 1X2000 HOJAS,CUIDADO PERSONAL,ARTICULOS LIBRERIA,PAPELES,SIN MARCA,,,,,COMPUTACION EXPRES LTDA.
Z. P. DES. REXONA 24HRS.INV-POW-SPRIN 12,CUIDADO PERSONAL,PERFUMERIA,DESODORANTES,REXONA,,,PERFUMERIA,,UNILEVER CHILE LIMITADA.
FIDEO CAROZZI CAB.LARGO 25X400 GR,ALIMENTOS,FIDEOS,CABELLOS DE ANGEL,CAROZZI,CABELLO ANGEL LARGO,BOLSA,FIDEOS,CABELLO DE ANGEL LARGO CAROZZI 400GR,EMPRESAS CAROZZI S.A.
Z. PAP. HIGIENICO DUALETTE  X48,CUIDADO PERSONAL,PAPELERA,HIGIENICOS,SIN MARCA,,,,,CMPC TISSUE S.A.
Z. ACEITE CHEF VEGETAL 12X1000 CC,ABARROTES BASICOS Y MASCOTAS,ACEITE,VEGETAL,CHEF,,,ACEITE,,DIWATTS S.A
JABON POPEYE BCO.BEBE40X170G.,ASEO Y LIMPIEZA,DETERGENTES,JABONES,POPEYE,BEBE,DISPLAY,DETERGENTES,JABÓN BEBÉ POPEYE 170GR,MIGUEL MARITANO IND.JABONES S.A.
BATIFRUT FRAMBUESA SOPROLE  36X165 GR,LACTEOS REFRIGERADOS Y CECINAS,YOGHURT,BATIDO,BATIFRUT SOPROLE,FRAMBUESA,POTE,REFRIGERADOS,,COMERCIAL SANTA ELENA S.A.
Z. RAFF MIVITA 3 CEREALES 10X400 GR,LACTEOS REFRIGERADOS Y CECINAS,ALIMENTOS INFANTILES,CEREALES,MIVITA,,,,,TRESMONTES S.A
BATIFRUT MORA SOPROLE 36X165 GR,LACTEOS REFRIGERADOS Y CECINAS,YOGHURT,BATIDO,BATIFRUT SOPROLE,MORA,POTE,REFRIGERADOS,YOGHURT BATIDO MORA BATIFRUT SOPROLE 165GR,COMERCIAL SANTA ELENA S.A.
Z. P. SHAMPOO TIMOTEI 18/220,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,SHAMPOO,SIN MARCA,,,,,UNILEVER CHILE LIMITADA.
BATIFRUT DURAZNO SOPROLE 36X165 GR,LACTEOS REFRIGERADOS Y CECINAS,YOGHURT,BATIDO,BATIFRUT SOPROLE,DURAZNO,POTE,REFRIGERADOS,YOGHURT BATIDO DURAZNO BATIFRUT SOPROLE 165GR,COMERCIAL SANTA ELENA S.A.
FIDEO CAROZZI SPAGHETTI Nº5 25X400 GR,ALIMENTOS,FIDEOS,SPAGHETTI,CAROZZI,SPAGHETTI N°5,BOLSA,FIDEOS,SPAGHETTI N 5 CAROZZI 400GR,EMPRESAS CAROZZI S.A.
Z. P. PEP 3X12X130 F.NAT.,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,PASTA DENTAL,PEPSODENT,,,,,UNILEVER CHILE LIMITADA.
YOGHURT BATIFRUT PEACH 36X175 GR,LACTEOS REFRIGERADOS Y CECINAS,YOGHURT,BATIDO FRUTAS,SOPROLE,,,REFRIGERADOS,,COMERCIAL SANTA ELENA S.A.
BATIFRUT PIÑA SOPROLE 36X165,LACTEOS REFRIGERADOS Y CECINAS,YOGHURT,BATIDO,BATIFRUT SOPROLE,PIÑA,POTE,REFRIGERADOS,YOGHURT BATIDO PIÑA BATIFRUT SOPROLE 165GR,COMERCIAL SANTA ELENA S.A.
