description,origin,section,family,brand,variety,format,group,internet_description,manufacturer
LECHE COLUN CAFE CARAMELO UHT 18X330CC,LACTEOS REFRIGERADOS Y CECINAS,LECHE LIQUIDA,SABOR,COLUN,,,LECHE LIQUIDA,,COOPERATIVA AGRICOLA LECHERA LA UNION LT
MAYONESA HELLMANNS DELI DP 24X200GR,ALIMENTOS,MAYONESA,TRADICIONAL,HELLMAN'S,,SACHET,ADEREZOS,MAYONESA TRADICIONAL HELLMAN'S 200GR,UNILEVER CHILE LIMITADA.
MERMELADA WATTS FRAMBUESA BOLSA 24X250 G,LACTEOS REFRIGERADOS Y CECINAS,DULCES Y MERMELADAS,MERMELADAS,WATTS,,,DULCES Y MERMELADAS,,DIWATTS S.A
PACK CREMA DENTAL COLGATE KIDS FRUTI 3X2,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,PASTA DENTAL,COLGATE,,,PRODUCTOS ASEO PERSONAL,,PALMOLIVE CHILE S.A.
Z.PANUELO ELITE MENTOLADO  10X18 UN,CUIDADO PERSONAL,PAPELERA,PAÐUELOS,ELITE,,,PANALES,,CMPC TISSUE S.A.
TOALLA PAPEL NOVA EVOLUTION GIGANTE UH 1,CUIDADO PERSONAL,PAPELERA,TOALLAS PAPEL,NOVA,EVOLUTION GIGANTE,PAQUETE,PAPELERA,TOALLA DE PAPEL EVOLUTION GIGANTE NOVA 1UN,CMPC TISSUE S.A.
ARIEL POWER DOWNY CONCENT LIQ 6X1.9LT,ASEO Y LIMPIEZA,DETERGENTES,LIQUIDOS,ARIEL,DOWNY CONCENT,BOTELLA,DETERGENTES ARIEL,DETERGENTE LIQUIDO DOWNY CONCENT ARIEL 1,9LT,PROCTER & GAMBLE CHILE LTDA.
CANASTA ASEO UL ABRIL 2018,ASEO Y LIMPIEZA,COMBOS,CANASTAS,SIN MARCA,ASEO UL ABRIL 2018,CAJA,PROMOCIONES,,
AROMATIZANTE CALIFORNIA COOL GEL 70G X12,ASEO Y LIMPIEZA,AMBIENTALES,DESODORANTE AMBIENTAL,SIN MARCA,,,PRODUCTOS AUTOMOVIL,,ENERGIZER DE CHILE SPA
DETERGENTE CHISPEZA MATIC 24X120 GR,ASEO Y LIMPIEZA,DETERGENTES,POLVO,SIN MARCA,,,DETERGENTES VARIAS MARCAS,,SOLUPLAST SPA
CANASTA ASEO UL ABRIL 2018,ASEO Y LIMPIEZA,COMBOS,COMBOS,SIN MARCA,,,PROMOCIONES,,
Z.NECTAR WATTS DAMASCO 6X200,B.ALCOHOLICAS Y ANALCOHOLICAS,JUGOS O NECTAR,CAJA,WATTS,,,JUGOS O NECTAR,,DIWATTS S.A
Z.NECTAR WATTS MANZANA 6X200,B.ALCOHOLICAS Y ANALCOHOLICAS,JUGOS O NECTAR,CAJA,WATTS,,,JUGOS O NECTAR,,COMERCIAL CCU S.A.
Z.NECTAR WATT PERA 6X200,B.ALCOHOLICAS Y ANALCOHOLICAS,JUGOS O NECTAR,CAJA,WATTS,,,JUGOS O NECTAR,,DIWATTS S.A
Z.NECTAR WATTS PINA 6X200,B.ALCOHOLICAS Y ANALCOHOLICAS,JUGOS O NECTAR,CAJA,WATTS,,,JUGOS O NECTAR,,COMERCIAL CCU S.A.
Z.NECTAR WATTS DURAZNO 6X200,B.ALCOHOLICAS Y ANALCOHOLICAS,JUGOS O NECTAR,CAJA,WATTS,,,JUGOS O NECTAR,,COMERCIAL CCU S.A.
Z.NECTAR WATTS NARANJA 6X200,B.ALCOHOLICAS Y ANALCOHOLICAS,JUGOS O NECTAR,CAJA,WATTS,,,JUGOS O NECTAR,,COMERCIAL CCU S.A.
ENCENDEDOR BIC BX7 PIEDRA X50U  (952620),ASEO Y LIMPIEZA,ENCENDEDORES,ENCENDEDOR,BIC,PIEDRA,DISPLAY,ENCENDEDORES,ENCENDEDOR PIEDRA BIC 20UN,BIC CHILE S.A.
Z.CAJA MIXTA POETT LAV 485 CCMASLOVE,ASEO Y LIMPIEZA,ARTICULOS DE ASEO PISO,LIMPIA PISOS,POETT,,,ARTICULOS DE ASEO PISO,CAJA MIXTA CAJA LAVANDA POETT 485ML,CLOROX CHILE S.A.
Z.CAJA MIXTA POETT PRIM 485CC MASLOVE,ASEO Y LIMPIEZA,ARTICULOS DE ASEO PISO,LIMPIA PISOS,POETT,,,ARTICULOS DE ASEO PISO,CAJA MIXTA CAJA PRIMAVERA POETT 485ML,CLOROX CHILE S.A.
PILA EVEREADY NEGRA MED 18X12U (911011),CUIDADO PERSONAL,PILAS,ALCALINAS,EVEREADY,,,PILAS,,ENERGIZER DE CHILE SPA
BATERIA EVEREADY NEGRA 9V 1U (911016),CUIDADO PERSONAL,PILAS,BATERIA,EVEREADY,9V,PACK,PILAS,BATERIA BATERIA 9V EVEREADY 1UN,ENERGIZER DE CHILE SPA
PERSPECTIVA MAYO,ALIMENTOS,COMBOS,COMBOS,CASERITA,,,,,DISTRIBUIDORA COMERCIAL CASERITA LTDA
PANAL HUGGIES ACTIVE SEC CAP XXG 2X44,CUIDADO PERSONAL,PANALES,TALLA XXG,HUGGIES,ACTIVE SEC,PAQUETE,PANALES,PAÑALES TALLA XXG ACTIVE SEC HUGGIES 44UN,KIMBERLY CLARK CHILE S.A.
PANAL HUGGIES ACTIVE SEC CAP XG 2X48,CUIDADO PERSONAL,PANALES,TALLA XG,HUGGIES,ACTIVE SEC,PAQUETE,PANALES,PAÑALES TALLA XG HOMBRE ACTIVE SEC HUGGIES 48UN,KIMBERLY CLARK CHILE S.A.
PANAL HUGGIES ACTIVE SEC CAP G 2X58,CUIDADO PERSONAL,PANALES,TALLA G,HUGGIES,ACTIVE SEC,PAQUETE,PANALES,PAÑALES TALLA G ACTIVE SEC HUGGIES 58UN,KIMBERLY CLARK CHILE S.A.
PH SCOTT ESENCIAS 2P REG 10X4 ELEGANCE,CUIDADO PERSONAL,PAPELERA,PAPEL HIGIENICO,SCOTT,ESENCIAS ELEGANCE,PAQUETE,PAPELERA,PAPEL HIGIENICO ESENCIAS ELEGANCE SCOTT 4UN,KIMBERLY CLARK CHILE S.A.
CANASTA PERFUMERIA 5,ASEO Y LIMPIEZA,COMBOS,CANASTAS,SIN MARCA,PERFUMERIA 5,CAJA,PROMOCIONES,,
UNO AL DIA SOPROLE TETRA PACK 6 FRUT 80M,LACTEOS REFRIGERADOS Y CECINAS,YOGHURT,LIQUIDOS,SOPROLE,FRUTILLA,POTE,REFRIGERADOS,YOGHURT LIQUIDO FRUTILLA SOPROLE 80ML,COMERCIAL SANTA ELENA S.A.
UNO AL DIA SOPROLE TETRA PAC 6 MULTIF80M,LACTEOS REFRIGERADOS Y CECINAS,YOGHURT,LIQUIDOS,SOPROLE,,,REFRIGERADOS,,COMERCIAL SANTA ELENA S.A.
YOGHURT PROTEIN MAS NAT END155 G SOPROLE,LACTEOS REFRIGERADOS Y CECINAS,YOGHURT,BATIDO,SOPROLE,,,REFRIGERADOS,,COMERCIAL SANTA ELENA S.A.
YOGHURT PROTEIN MAS FRUTI 155 GR SOPROLE,LACTEOS REFRIGERADOS Y CECINAS,YOGHURT,BATIDO,SOPROLE,FRUTILLA,POTE,REFRIGERADOS,YOGHURT BATIDO FRUTILLA SOPROLE 155GR,COMERCIAL SANTA ELENA S.A.
LECHE LONCOLECHE CHOCO AVELL 18X330 CC,LACTEOS REFRIGERADOS Y CECINAS,LECHE LIQUIDA,SABOR,LONCO LECHE,,,LECHE LIQUIDA,,DIWATTS S.A
LECHE LONCOLECHE CARAMELO 18X330 CC,LACTEOS REFRIGERADOS Y CECINAS,LECHE LIQUIDA,SABOR,LONCO LECHE,,,LECHE LIQUIDA,,DIWATTS S.A
Z. NECTAR WATTS SELECCION MAN/MARA 330CC,B.ALCOHOLICAS Y ANALCOHOLICAS,JUGOS O NECTAR,CAJA,WATTS,,,JUGOS O NECTAR,,DIWATTS S.A
Z. NECTAR WATTS SELECCION NARANJA 330 CC,B.ALCOHOLICAS Y ANALCOHOLICAS,JUGOS O NECTAR,CAJA,WATTS,,,JUGOS O NECTAR,,DIWATTS S.A
FANTA PET 6X1,5 LT ( NUEVO ),B.ALCOHOLICAS Y ANALCOHOLICAS,BEBIDAS,BEBIDA GASEOSA,FANTA,,BOTELLA,BEBIDAS,,COLA EMBONOR S.A.
